title,heading,content,tokens
2020년 하계 올림픽,요약,"2020년 하계 올림픽(일본어: 2020亮닷_耶_ゃ___, Hepburn: Nisen Nijbig-nen Kaki Orinpikku), 공식적으로 제32회 올림픽 게임(寧т_____ゃ___ザ鸚㏛_, 다이 도쿄 2020(긴벵2020, T_ky_ Nii Zero Nii Zero)은 2021년 7월 23일부터 8월 8일까지 일본 도쿄에서 개최된 국제 종합 스포츠 행사입니다. , 7월 21일에 시작된 일부 예비 이벤트와 함께. 도쿄는 2013년 9월 7일 아르헨티나 부에노스아이레스에서 열린 제125차 IOC 총회에서 개최 도시로 선정되었습니다. 당초 올림픽은 2020년 7월 24일부터 8월 9일까지 열릴 예정이었으나 전 세계적인 COVID-19 대유행으로 인해 2020년 3월 24일, 이벤트는 올림픽 역사상 처음으로 2021년으로 연기되었습니다(이전 게임은 취소되었지만 일정이 변경되지 않음). 그러나 이벤트는 마케팅 목적으로 도쿄 2020 브랜드를 유지했습니다. 공식 관중 없이 개최되는 최초이자 지금까지 유일한 올림픽인 수도권의 비상 사태 선언으로 인해 공개 관중이 허용되지 않은 채 대부분 비공개로 개최되었습니다. 2020년 올림픽은 1964년 하계 올림픽(도쿄), 1972년 동계 올림픽(삿포로), 1998년 동계 올림픽에 이어 일본에서 네 번째로 열리는 올림픽이었습니다. (나가노). 도쿄는 하계 올림픽을 두 번 개최한 아시아 최초의 도시가 되었습니다. 2020년 대회는 2018년 대한민국 평창 동계올림픽에 이어 2022년 중국 베이징 동계올림픽에 이어 동아시아에서 3회 연속 개최되는 올림픽 중 두 번째다. 1년 연기로 인해 도쿄 2020은 홀수 해에 개최된 유일한 올림픽이자 1900년 대회 이후 첫 하계 올림픽이 윤년이 아닌 해에 개최되었습니다. 2020년 기존 스포츠에 새로운 이벤트가 도입되었습니다. 여기에는 3x3 농구, 자유형 BMX, 여러 기존 스포츠의 혼성 팀 이벤트가 포함되며, 남성을 위한 매디슨 사이클링의 복귀와 여성을 위한 동일한 이벤트 도입도 포함됩니다. 새로운 IOC 정책은 또한 개최 조직 위원회가 단 하나의 게임을 위해 올림픽 프로그램에 새로운 스포츠를 추가할 수 있도록 허용했습니다. 일본 올림픽 위원회가 추가한 종목은 야구와 소프트볼, 가라테, 스포츠 클라이밍, 서핑, 스케이트보드였으며, 이 중 마지막 4개 종목이 올림픽에 데뷔했고, 마지막 3개 종목은 올림픽 프로그램에 남게 됩니다. 미국이 1위를 차지했습니다. 메달 수는 총 금메달(39개)과 총 메달(113개)로, 중국은 두 가지 측면(38개와 89개)에서 2위를 차지했습니다. 개최국인 일본은 27개와 58개의 메달로 올림픽에서 올림픽 대표단이 획득한 가장 많은 금메달과 총 메달 수로 3위를 차지했습니다. 영국은 총 22개의 금메달과 64개의 메달로 4위를 차지했습니다. ROC로 참가한 러시아 대표단은 금메달 20개로 5위, 메달 71개로 전체 메달 수 3위를 기록했습니다. 버뮤다, 필리핀, 카타르가 사상 첫 올림픽 금메달을 목에 걸었습니다. 부르키나파소, 산마리노, 투르크메니스탄이 사상 첫 올림픽 메달을 획득했습니다.",726
2020년 하계 올림픽,개최 도시 선정,국제올림픽위원회(IOC)는 2013년 9월 7일 아르헨티나 부에노스아이레스에서 열린 제125차 IOC 총회에서 철저한 투표 시스템을 사용하여 2020년 하계 올림픽 개최 도시를 선정하기로 결정했습니다. 후보 도시 중 어느 것도 1차 투표에서 50% 이상의 득표율을 얻지 못했습니다. 마드리드와 이스탄불이 공동 2위를 차지했기 때문에 두 도시 중 어느 도시가 탈락할지 결정하기 위한 결선 투표가 진행되었습니다. 최종 투표는 도쿄와 이스탄불의 일대일 대결이었습니다. 도쿄는 60대 36으로 선출되어 과반수에 필요한 최소 49표를 얻었습니다.,126
2020년 하계 올림픽,COVID-19 팬데믹의 영향,"2020년 1월, COVID-19 팬데믹이 선수와 올림픽 방문객에게 미칠 잠재적 영향에 대한 우려가 제기되었습니다. 도쿄 주최측과 국제올림픽위원회(IOC)는 올림픽 준비에 미치는 영향을 최소화하기 위해 질병의 확산을 모니터링하고 있다고 주장했다. IOC는 2020년 일본 파트너들과 아베 신조 총리가 ""일본이 늦어도 내년 여름(2021년) 이후로 연기를 관리할 수 없다는 점을 분명히 했다""고 밝혔다. 2016년 리우데자네이루 하계 올림픽 당시의 지카 바이러스 사례와 달리 SARS-CoV-2는 사람 간에 직접 전파될 수 있어 주최측이 감염병에 대응하고 안전한 행사를 개최하는 데 더 큰 어려움을 안고 있습니다. 또한 2010년 밴쿠버 동계 올림픽 당시 H1N1 ""돼지 독감"" 사례와 달리 COVID-19는 치사율이 더 높고 2020년 12월까지 효과적인 백신이 없었습니다. 2020년 2월 인터뷰에서 보수당 런던 시장 후보인 Shaun Bailey는 다음과 같이 주장했습니다. COVID-19 대유행으로 인해 올림픽을 이전해야 하는 경우 런던은 이전 2012년 올림픽 경기장에서 올림픽을 개최할 수 있습니다. 고이케 유리코 도쿄도지사는 베일리의 발언이 부적절하다고 비판했다. 2021년 초, 미국 플로리다주의 관리들은 연기된 게임을 자신의 주에서 개최하겠다고 제안했고, 도쿄 올림픽을 담당하는 IOC 부회장인 John Coates는 도시와 일본의 다른 지역이 열리더라도 게임이 열릴 것이라고 말했습니다. COVID-19로 인해 비상 사태가 발생했습니다. 국립 전염병 연구소와 교토 대학의 추정에 따르면 올림픽 기간 동안 비상 사태가 필요할 수 있다고 예측했습니다. 보건부 전문가 패널에서 발표한 보고서에 따르면 올림픽이 관중을 허용할 경우 신규 환자가 10,000명으로 증가하는 것으로 나타났습니다.",374
2020년 하계 올림픽,적격 이벤트 취소 및 연기,"팬데믹에 대한 우려는 2020년 초에 자격 행사에 영향을 미치기 시작했습니다. 2월에 열릴 예정이었던 일부 행사는 영향을 받는 지역, 특히 중국으로의 여행에 대한 우려를 해결하기 위해 대체 장소로 옮겨졌습니다. 예를 들어 여자농구 예선은 중국 포산이 아닌 세르비아 베오그라드에서 치러졌다. 당초 2월 314일부터 코로나19 발원지인 중국 우한에서 열릴 예정이던 아시아·오세아니아 복싱 예선전이 3월 초 요르단 암만에서 열렸다. . 여자축구 예선 3차전도 중국에서 열릴 예정이던 조별리그가 호주로 옮겨지면서 영향을 받았다. 유럽권 복싱 예선은 2020년 3월 14일 영국 런던에서 시작되었으나 2021년 4월로 일정이 재조정되기 전에 이틀 간의 경기 후 중단되었습니다. 결국 2021년 6월에 재개되었지만 여행에 대한 새로운 우려로 프랑스 파리로 옮겨졌습니다. 영국으로. 2020년 3월부터 6월까지 열릴 예정이었던 다른 예선 경기는 팬데믹에 대한 대응으로 국제 스포츠 대회의 광범위한 중단의 일환으로 올해 말과 2021년 중반까지 연기되기 시작했습니다. 양궁, 야구, 사이클, 핸드볼, 유도, 조정, 세일링, 배구, 수구 등 다양한 올림픽 스포츠가 영향을 받았습니다.",298
2020년 하계 올림픽,도핑 테스트에 대한 영향,"필수 도핑 검사는 2020년 초 COVID-19 전염병으로 인해 심각하게 제한되었습니다. 유럽 도핑 방지 기구는 혈액 및 소변 검사를 수행할 수 없으며 전염병이 끝나기 전에 필요한 직원을 동원해야 한다는 우려를 제기했습니다. 건강 위험. 올림픽에 앞서 광범위한 검사가 필요함에도 불구하고 세계반도핑기구(WADA)는 공중 보건과 안전이 최우선 순위라고 밝혔습니다. 중국 도핑방지기구는 2020년 2월 3일 일시적으로 테스트를 중단했으며 이달 말까지 단계적 테스트를 재개할 계획이며 미국, 프랑스, 영국, 독일의 도핑방지기구는 테스트를 줄였습니다. 3월말 활동.",163
2020년 하계 올림픽,2021년으로 연기,"도쿄 올림픽 및 패럴림픽 조직위원회(TOCOG)는 2020년 3월 2일 성명을 발표하고 다가오는 도쿄 올림픽 준비가 ""계획대로 계속되고 있음""을 확인했습니다. 3월 23일, 캐나다와 호주는 1년 연기되지 않으면 올림픽에서 탈퇴하겠다고 밝혔습니다. 같은 날 아베 신조(安倍晋三) 일본 총리는 선수의 안전 확보가 '가장 중요하다'며 연기 제안을 지지하겠다고 밝혔고, 베테랑 IOC 위원이자 전 부회장인 딕 파운드(Dick Pound)는 24일 올림픽 연기를 기대한다고 말했다. 계획된 시작까지 122일 남은 2020년 3월, IOC, TOCOG 및 아베 총리는 2020년 하계 올림픽 및 패럴림픽이 ""2020년 이후이지만 늦어도 2021년 여름까지는"" 날짜로 일정이 변경될 것이라고 발표하는 공동 성명을 발표했습니다. 그들은 올림픽이 ""어려운 시기에 세계에 희망의 횃불이 될 수 있다""고 말했고, 올림픽 성화는 ""현재 세계가 자신을 발견하는 터널 끝의 빛""이 될 수 있다고 말했습니다. 아베 총리는 토마스 바흐 IOC 위원장이 올림픽 연기 제안에 대해 ""100% 동의""했다고 밝혔다. 연속성과 마케팅 목적을 위해 일정 변경에도 불구하고 올림픽은 여전히 도쿄 2020으로 브랜드화되는 데 동의했습니다. 2020년 3월 30일 IOC와 TOCOG는 2020년 하계 올림픽의 새로운 날짜에 합의했다고 발표했습니다. , 2021년 7월 23일 개막식으로 시작하여 2021년 8월 8일 폐막식으로 끝나며 여전히 도쿄에서 개최됩니다. 차기 베이징 동계 올림픽은 6개월도 채 남지 않은 2022년 2월 4일에 시작될 예정입니다. 연기가 확정되기 직전에 IOC와 도쿄 2020 조직위원회는 올림픽 연기로 인해 발생하는 후원 및 숙박 문제를 해결하기 위해 ""Here We Go""라는 태스크 포스를 구성했습니다. 조직위는 이미 도쿄 2020 출전 자격을 얻은 모든 선수들이 예선 슬롯을 유지할 것이라고 확인했습니다.",414
2020년 하계 올림픽,취소 요청,"보건 전문가들은 2020년 4월 전염병이 지속되면 올림픽을 취소해야 할 수도 있다는 우려를 표명했습니다. 인터뷰에서 당시 TOCOG 회장이자 전 일본 총리인 Yoshir_ Mori는 2021년에 올림픽이 진행되지 않으면 올림픽이 ""폐기""될 것이라고 주장했습니다. 2020년 4월 29일 아베 총리는 올림픽이 "" 전 세계가 코로나바이러스 대유행과의 전쟁에서 승리했음을 보여주는 방식으로 개최되어야 합니다."" Thomas Bach는 2020년 5월 20일 인터뷰에서 도쿄 올림픽을 재조직하는 작업이 ""엄청난 작업""임을 인정했으며 2021년 여름에 열리지 않으면 행사를 완전히 취소해야 한다고 인정했습니다. 그러나 , Mori와 Bach는 모두 게임 진행에 대해 낙관적이었습니다. 기본 행동 정책에 대한 일본 COVID-19 자문위원회 위원은 British Medical Journal 사설을 공동 집필했습니다. 2021년 1월 21일, 여러 소식통은 일본 정부가 올림픽을 취소해야 한다는 ""비공개 결론""을 내렸다고 보도했습니다. 정부는 해당 보도가 ""분명히 사실이 아니다""며 주장을 일축했다. 스가 요시히데(菅義偉) 일본 신임 총리는 2월 19일 G7이 연기된 올림픽이 예정대로 진행될 수 있도록 만장일치로 지지했다고 확인했다. 올림픽이 시작되기 불과 3개월 전인 2021년 4월에 보고된 바에 따르면, 일본은 인구의 1% 미만의 백신을 접종했으며 수만 명의 자원봉사자가 백신을 접종할 것으로 예상됩니다. 2021년 일본에서 COVID-19 사례가 급증하면서 일본 게임에 대한 대중의 지지가 크게 감소했습니다. 여러 의료 전문가 조직이 올림픽에 반대하는 목소리를 냈고, 2021년 4월 여론 조사에서 참가자의 40%가 올림픽 취소를 지지했고 33%가 두 번째 연기를 지지했습니다. 2021년 5월 설문 조사에 응한 응답자의 83%가 올림픽 취소 또는 연기를 지지했습니다. 도쿄 개업의사협회는 총리에게 보낸 공개 서한에서 도쿄의 병원이 ""손이 꽉 차서 여력이 거의 없다""며 취소를 촉구했습니다. 선출된 총재 47명 중 최소 9명이 올림픽 취소를 지지했습니다. 조사에 응한 일본 기업의 거의 37%가 올림픽 취소를 지지했고 32%는 연기를 지지했습니다. 이전에 도쿄 지사에 출마한 우쓰노미야 겐지(Kenji Utsunomiya)는 주최측에 ""생명을 우선시""할 것을 촉구하는 청원서에서 351,000명 이상의 서명을 받았습니다. 올림픽. 일본 작가 아카가와 지로와 나카무라 후미노리도 올림픽 연기나 취소를 촉구했다. 2021년 5월 26일 올림픽의 지역 후원사인 아사히신문은 스가 총리에게 ""조용하고 객관적으로 상황을 판단해 이번 여름 행사 취소를 결정한다""고 밝혔다. 6월 4일, 일본 스폰서가 주최 측에 ""게임을 몇 달 연기할 것""을 제안했다고 보도되었습니다. 예방 접종자가 더 많고 날씨가 더 시원하고 대중의 반대가 낮을 때 게임. 아사히신문의 여론조사에 따르면 응답자의 55%가 올림픽 취소를 지지했고 68%는 주최측이 올림픽에서 코로나19를 적절하게 통제할 수 없을 것이라고 생각했다. 이 결정은 또한 게임 기간 동안 제품을 홍보하기 위해 직접 참석할 계획을 세웠던 지역 스폰서에게도 불리했습니다. 공식 스폰서 도요타의 한 임원은 올림픽이 ""대중의 이해를 얻지 못하는 행사가 되고 있다""며 일본 게임을 위해 계획했던 텔레비전 광고 캠페인을 철회했다고 밝혔다. 제2차 세계 대전 이후 처음으로 올림픽 경기가 취소되고 전쟁과 무관한 상황으로 인해 경기가 취소된 첫 번째 경기가 되었을 것입니다. 완전한 취소는 운영 비용과 관광 활동 손실을 기준으로 일본이 4조 5,200억 달러(미화 415억 달러)의 비용이 들게 할 것입니다.",923
2020년 하계 올림픽,비용 및 보험,"2020년 3월 NHK가 보고한 간사이 대학의 미야모토 가쓰히로 명예교수의 추산에 따르면 2020년 올림픽을 1년 연기하는 데 소요되는 비용은 유휴시설 유지비를 포함해 6408억엔(미화 58억 달러)이다. 노무라종합연구소는 2021년 도쿄올림픽·패럴림픽을 취소하는 데 소요되는 비용이 1조8100억엔(약 170억달러)으로 추산했다. ""경제적 손실의 관점이 아니라 감염 위험에 대한 영향을 기반으로 만들어져야 합니다."" IOC는 각 하계 올림픽에 약 8억 달러의 보험을 들며 2020년 올림픽의 총 손실액은 20억 달러 이상이 될 것으로 보입니다. 대회 연기로 인한 차질은 현지 주최측, 스폰서, 숙박업체, 여행사 등 금전적 손실에 대한 클레임을 제기할 가능성이 있는 보험 정책에 의해 보상되었습니다. 연기 이전에 해외에서 구매한 티켓 소지자는 환불받을 수 있었습니다. 취소된 호텔 예약 비용을 제외하고 올림픽 및 패럴림픽 티켓 구매에 대해. 약 60만 장의 올림픽 티켓과 30만 장의 패럴림픽 티켓을 환불받을 수 있었지만, 주최측은 환불에 소요된 총액을 공개하지 않겠다고 밝혔다. 로이터 통신은 업계 소식통의 말을 인용해 도쿄올림픽위원회가 보험금으로 5008억 달러(약 500억8000만 원)를 빼냈고, 스포츠 경기장과 선수촌 재예약 등의 비용을 감안하면 그 중 손실액을 만회할 수 있는 금액은 거의 없을 것이라고 전했다. 환불 티켓 판매. 지역 주최측은 티켓 판매를 책임지고 이를 사용하여 게임 개최 비용을 지불합니다. 티켓 판매는 약 8억 달러를 벌어들일 것으로 예상되었지만 실제 판매는 거의 제로에 가까웠습니다.",412
2020년 하계 올림픽,대회 중·후 여론과 코로나19 영향,"도쿄 올림픽이 열리기 전에는 많은 일본인들이 올림픽 개최에 대해 부정적이었지만, 올림픽이 끝날 무렵에는 긍정적인 태도를 보였습니다. 올림픽 막바지 일본 국민을 대상으로 일본뉴스네트워크와 요미우리신문이 공동으로 실시한 여론조사에 따르면 응답자의 38%가 코로나19로부터 안전하게 올림픽을 개최할 수 있다고 답했다. 19, 55%는 불가능하다고 답했습니다. 그러나 64%는 도쿄올림픽이 진행된 것이 좋았고 28%는 개최되지 않았으면 좋겠다고 답했다. 응답자 중 61%는 대회가 관중 없이 개최된 것을 기쁘게 생각했으며 12%만이 관중이 허용되어야 한다고 말했습니다. 7월 29일, 올림픽이 시작된 지 일주일도 채 안 된 저널리스트 Masaki Kubota는 일본 국민의 관점에 대한 분석을 보고했습니다. 그는 일본 뉴스 매체가 올림픽에 대해 보도하는 방식의 변화에 크게 영향을 받았다고 믿었습니다. 그는 일본의 많은 언론이 코로나19 확산을 우려해 올림픽 취소를 주장했지만, 일본 선수들이 메달을 따기 시작하자 보도 방침을 바꿔 올림픽에 활기를 불어넣기 시작한 점을 지적했다. 도쿄 올림픽이 열리자 도쿄 패럴림픽이 열리면서 일본에서 COVID-19 사례, 특히 델타 변종으로 인한 사례가 급격히 증가했습니다. 7월 26일 일본에서 60,157건의 사례가 발견되어 5월 10일에 기록된 44,961건의 기록을 경신했습니다. 올림픽이 끝난 지 하루 만인 8월 9일 일본의 일일 확진자는 처음으로 10만 명을 돌파했고, 신규 확진자는 계속해서 증가해 8월 23일 정점을 찍은 156,931명을 기록했다.",397
2020년 하계 올림픽,개발 및 준비,"도쿄 조직위원회는 당초 모리 요시르 전 일본 총리가 위원장을 맡았지만, 회의에서 여성에 대한 성차별적 발언에 반발해 2021년 2월 사임했다. 후임자로 하시모토 세이코가 선출되었습니다. 마루카와 다마요 도쿄 올림픽·패럴림픽 장관은 일본 정부를 대신해 준비 감독을 맡았다. 게임. 일본 정부는 하네다 공항과 나리타 공항 모두에서 슬롯 수용 인원을 늘리기 위해 영공 제한 완화를 고려하고 있었습니다. 도쿄역 확장을 통해 두 공항을 연결하는 새로운 철도 노선이 계획되어 도쿄역에서 하네다까지의 이동 시간이 30분에서 18분으로, 도쿄역에서 나리타까지 55분에서 36분으로 단축되었습니다. 주로 개인 투자자들이 자금을 조달하면 이 라인의 비용은 짜4000억이 될 것입니다. 동일본여객철도(JR 동일본)도 타마치 근처에서 하네다 공항으로 가는 새로운 노선을 계획하고 있었습니다. 지역의 주요 고속도로. 유리카모메 자동 환승 노선도 도요스 역의 기존 터미널에서 가치도키 역의 새 터미널로 연장되어 올림픽 선수촌 부지를 통과할 예정이었지만 오다이바의 주요 행사를 처리할 수 있는 충분한 용량이 없을 것으로 예상되었습니다. 2018년 4월 도쿄조직위원회는 2020년 올림픽 준비와 올림픽 기간 동안 양질의 일자리를 보장하기 위해 국제노동기구(ILO)와 파트너십을 체결했습니다. Mut_은 위원회가 비용 절감을 달성하기 위해 게임을 간소화하기 위한 옵션을 모색하고 있다고 말했습니다. 9월 25일 IOC와 도쿄 조직위원회는 비선수 인력 감축, 온라인 회의 사용, 교통 간소화 등을 포함하여 올림픽 물류를 단순화하기 위한 일련의 조치에 동의했습니다. 위원회는 또한 모든 참가자의 건강과 안전을 유지하기 위해 탐색할 영역을 설명했습니다.",461
